class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16
1,qid:501,2,1,2,2,3,3,0,0,0,0,7,20,10,4,2,3
0,qid:501,1,4,0,1,1,1,0,1,0,1,9,19,7,2,2.1,4
1,qid:502,0,2,1,1,1,1,0,0,1,1,2,10,2,0,1.5,2
0,qid:502,0,2,1,3,1,5,0,1,1,0,6,21,8,2,2.6,3
1,qid:503,0,1,1,0,1,5,0,0,0,3,6,18,6,2,2.2,3
0,qid:503,0,1,1,1,2,2,0,0,0,4,6,18,7,3,2,3
0,qid:504,1,1,2,3,1,3,1,1,0,2,7,22,11,2,2.7,3
1,qid:504,3,0,1,1,1,5,0,0,0,0,9,21,9,3,2.3,3
1,qid:505,1,0,0,1,1,6,0,0,1,0,4,14,7,2,1.9,3
0,qid:505,2,0,2,1,1,5,0,0,0,0,7,20,10,2,2.8,5
1,qid:506,0,1,0,0,0,9,0,0,2,0,3,15,7,2,3,5
0,qid:506,3,0,1,1,0,2,0,0,1,1,8,21,11,3,3.3,4
1,qid:507,1,0,0,0,4,3,0,0,1,1,6,17,7,3,1.9,3
0,qid:507,2,1,2,0,1,0,0,0,1,2,7,16,4,0,1.3,2
1,qid:508,2,2,0,1,4,1,0,1,0,1,6,18,8,4,1.8,2
0,qid:508,1,2,1,2,2,4,1,0,1,2,5,21,11,3,1.9,2
1,qid:509,0,0,0,0,1,3,0,0,1,0,2,8,3,1,2,3
0,qid:509,1,0,1,0,1,2,0,0,0,0,3,9,3,1,2,3
1,qid:510,0,1,0,2,2,4,0,0,1,1,3,15,4,1,1.8,3
0,qid:510,0,2,0,3,2,3,0,0,0,0,5,16,4,1,2,2
0,qid:511,0,0,1,1,0,6,0,0,1,1,6,17,5,1,1.4,2
1,qid:511,0,1,1,1,4,1,0,0,0,0,5,13,4,1,2.5,4
1,qid:512,0,1,0,1,1,0,0,0,0,2,0,5,3,0,1,1
0,qid:512,1,2,1,0,1,5,0,1,0,1,9,21,8,4,2.8,4
0,qid:513,0,1,1,0,2,8,0,1,0,1,8,22,11,3,2.3,3
1,qid:513,1,1,1,1,2,3,0,0,0,2,7,18,9,2,1.4,2
1,qid:514,0,0,0,0,3,3,0,0,0,0,3,9,4,0,1.8,3
0,qid:514,0,1,1,3,3,5,1,0,2,0,6,22,10,2,2,3
0,qid:515,0,0,0,2,1,6,0,0,1,0,7,19,5,1,1.2,2
1,qid:515,0,0,1,0,1,1,0,0,1,1,1,7,2,1,1,1
0,qid:516,0,0,0,0,2,4,0,0,0,1,6,13,3,1,2,3
1,qid:516,0,0,0,1,2,1,0,0,2,0,1,7,3,1,2,3
0,qid:517,2,0,1,1,3,1,0,0,0,1,9,19,8,3,1.9,2
1,qid:517,1,0,2,2,1,3,0,0,0,3,4,17,8,1,2.5,3
0,qid:518,2,1,1,0,1,6,0,0,2,1,7,22,11,1,1.8,3
1,qid:518,0,0,2,3,1,5,0,0,1,1,7,22,6,5,1.8,2
0,qid:519,1,0,1,2,2,3,0,0,0,0,9,19,8,0,2.9,4
1,qid:519,0,0,1,1,1,2,0,0,1,0,2,8,3,1,2,3
0,qid:520,0,0,1,2,2,2,0,0,0,3,7,17,7,2,1.9,3
1,qid:520,0,0,1,1,2,7,0,0,0,2,6,19,7,2,1.9,3
1,qid:521,0,1,0,0,3,7,0,0,0,3,7,21,9,4,1.3,3
0,qid:521,0,1,2,1,5,3,0,0,0,1,6,20,8,1,2,4
1,qid:522,0,1,1,0,5,4,0,0,1,1,6,21,8,1,2.3,4
0,qid:522,1,0,2,1,1,6,0,0,1,3,6,21,8,2,2.5,3
1,qid:523,0,0,3,1,3,0,0,0,0,2,2,11,3,0,1.7,2
0,qid:523,1,1,0,1,2,2,0,0,0,3,8,19,6,3,2.2,3
1,qid:524,0,0,0,1,1,4,0,0,0,2,4,12,4,2,1.8,2
0,qid:524,0,0,2,0,4,2,0,0,1,1,5,15,5,2,2,2
0,qid:525,0,1,1,0,2,2,0,0,0,0,6,12,4,1,2.3,3
1,qid:525,0,0,1,0,3,4,0,0,0,1,5,15,6,1,2.2,3
0,qid:526,0,1,0,0,2,8,0,0,2,1,9,23,10,1,1.5,3
